County,Site #,Latitude,Longitude,Acres,NDVI Change,Size Category,Google Maps URL
Douglas County CO,15,39.416055,-104.797986,8.92,-0.426,Medium (5-10 ac),"https://www.google.com/maps?q=39.416055,-104.797986"
Douglas County CO,16,39.430551,-104.978577,8.77,-0.305,Medium (5-10 ac),"https://www.google.com/maps?q=39.430551,-104.978577"
Douglas County CO,17,39.472461,-104.865524,8.33,-0.449,Medium (5-10 ac),"https://www.google.com/maps?q=39.472461,-104.865524"
Douglas County CO,18,39.421905,-104.909826,8.08,-0.304,Medium (5-10 ac),"https://www.google.com/maps?q=39.421905,-104.909826"
Douglas County CO,19,39.339985,-104.722568,7.88,-0.457,Medium (5-10 ac),"https://www.google.com/maps?q=39.339985,-104.722568"
Douglas County CO,20,39.363309,-104.750689,7.36,-0.367,Medium (5-10 ac),"https://www.google.com/maps?q=39.363309,-104.750689"
Douglas County CO,21,39.334114,-104.762531,7.24,-0.483,Medium (5-10 ac),"https://www.google.com/maps?q=39.334114,-104.762531"
Douglas County CO,22,39.434408,-104.93553,6.18,-0.337,Medium (5-10 ac),"https://www.google.com/maps?q=39.434408,-104.93553"
Douglas County CO,23,39.387336,-104.720317,5.54,-0.41,Medium (5-10 ac),"https://www.google.com/maps?q=39.387336,-104.720317"
Douglas County CO,24,39.46956,-104.976994,5.29,-0.348,Medium (5-10 ac),"https://www.google.com/maps?q=39.46956,-104.976994"
Douglas County CO,25,39.433573,-104.925683,5.26,-0.305,Medium (5-10 ac),"https://www.google.com/maps?q=39.433573,-104.925683"
Douglas County CO,26,39.505063,-104.724382,5.21,-0.541,Medium (5-10 ac),"https://www.google.com/maps?q=39.505063,-104.724382"
Douglas County CO,27,39.481789,-104.792047,5.04,-0.474,Medium (5-10 ac),"https://www.google.com/maps?q=39.481789,-104.792047"
Douglas County CO,28,39.435445,-104.967353,4.82,-0.336,Small (2-5 ac),"https://www.google.com/maps?q=39.435445,-104.967353"
